Link,Email,Page Number,websites
https://ted.europa.eu/en/notice/-/detail/594059-2024,https://www.dkrz.de/de,1,
https://ted.europa.eu/en/notice/-/detail/594059-2024,noreply.esender_hub@bescha.bund.de,1,bescha.bund.de
https://ted.europa.eu/en/notice/-/detail/594059-2024,http://de.atos.net/bull,1,
https://ted.europa.eu/en/notice/-/detail/594059-2024,juergen.schiewe@eviden.com,1,eviden.com
https://ted.europa.eu/en/notice/-/detail/594059-2024,vergabekammer@fb.hamburg.de,1,fb.hamburg.de
https://ted.europa.eu/en/notice/-/detail/594059-2024,http://fhh.hamburg.de/,1,
https://ted.europa.eu/en/notice/-/detail/594059-2024,vergabeteam@dkrz.de,1,dkrz.de
https://ted.europa.eu/en/notice/-/detail/594048-2024,post@angenvoort-barth.de,1,angenvoort-barth.de
https://ted.europa.eu/en/notice/-/detail/594048-2024,Vkrhld-d@bezreg-koeln.nrw.de,1,bezreg-koeln.nrw.de
https://ted.europa.eu/en/notice/-/detail/594048-2024,noreply.esender_hub@bescha.bund.de,1,bescha.bund.de
https://ted.europa.eu/en/notice/-/detail/594048-2024,http://www.bezreg-koeln.nrw.de/,1,
https://ted.europa.eu/en/notice/-/detail/594048-2024,vergabestelle@kreis-viersen.de,1,kreis-viersen.de
https://ted.europa.eu/en/notice/-/detail/594082-2024,https://www.berlin.de/sen/wirtschaft/wirtschaftsrecht/vergabekammer,1,
https://ted.europa.eu/en/notice/-/detail/594082-2024,ausschreibung@degewo.de,1,degewo.de
https://ted.europa.eu/en/notice/-/detail/594082-2024,https://www.degewo-ag.de/,1,
https://ted.europa.eu/en/notice/-/detail/594082-2024,berlin@bo-gruppe.de,1,bo-gruppe.de
https://ted.europa.eu/en/notice/-/detail/594082-2024,noreply.esender_hub@bescha.bund.de,1,bescha.bund.de
https://ted.europa.eu/en/notice/-/detail/594082-2024,vergabekammer@senweb.berlin.de,1,senweb.berlin.de
https://ted.europa.eu/en/notice/-/detail/594011-2024,Michele.M.Manicone@deutschebahn.com,1,deutschebahn.com
https://ted.europa.eu/en/notice/-/detail/594011-2024,Michele.M.Manicone@deutschebahn.com,1,deutschebahn.com
https://ted.europa.eu/en/notice/-/detail/594011-2024,Michele.M.Manicone@deutschebahn.com,1,deutschebahn.com
https://ted.europa.eu/en/notice/-/detail/594011-2024,http://www.deutschebahn.com/bieterportal,1,
https://ted.europa.eu/en/notice/-/detail/594011-2024,vk@bundeskartellamt.bund.de,1,bundeskartellamt.bund.de
https://ted.europa.eu/en/notice/-/detail/594011-2024,bieterportal-alt@deutschebahn.com,1,deutschebahn.com
https://ted.europa.eu/en/notice/-/detail/594011-2024,noreply.esender_hub@bescha.bund.de,1,bescha.bund.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,NLStBV-Z-Vergabestelle@nlstbv.niedersachsen.de,1,nlstbv.niedersachsen.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,NLStBV-Z-Vergabestelle@nlstbv.niedersachsen.de,1,nlstbv.niedersachsen.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,NLStBV-Z-Vergabestelle@nlstbv.niedersachsen.de,1,nlstbv.niedersachsen.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,nlstbv-z-vergabestelle@nlstbv.niedersachsen.de,1,nlstbv.niedersachsen.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,nlstbv-z-vergabestelle@nlstbv.niedersachsen.de,1,nlstbv.niedersachsen.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,vergabekammer@mw.niedersachsen.de,1,mw.niedersachsen.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,nlstbv-z-vergabestelle@nlstbv.niedersachsen.de,1,nlstbv.niedersachsen.de
https://ted.europa.eu/en/notice/-/detail/594093-2024,noreply.esender_hub@bescha.bund.de,1,bescha.bund.de
https://ted.europa.eu/en/notice/-/detail/594060-2024,m.pagenkopf@khwe.de,1,khwe.de
https://ted.europa.eu/en/notice/-/detail/594060-2024,m.pagenkopf@khwe.de,1,khwe.de
https://ted.europa.eu/en/notice/-/detail/594060-2024,m.pagenkopf@khwe.de,1,khwe.de
https://ted.europa.eu/en/notice/-/detail/594060-2024,https://www.khwe.de/,1,
https://ted.europa.eu/en/notice/-/detail/594060-2024,https://plattform.aumass.de/Veroeffentlichung/av21f30d-eu,1,
https://ted.europa.eu/en/notice/-/detail/594060-2024,vergabekammer@bezreg-muenster.nrw.de,1,bezreg-muenster.nrw.de
https://ted.europa.eu/en/notice/-/detail/594060-2024,https://www.bezreg-muenster.de/de/wirtschaft_finanzen_kommunalaufsicht/vergabekammer_westfalen/index.html,1,
https://ted.europa.eu/en/notice/-/detail/594060-2024,info@konzeptmanagement.de,1,konzeptmanagement.de
https://ted.europa.eu/en/notice/-/detail/594060-2024,https://konzeptmanagement.de/,1,
https://ted.europa.eu/en/notice/-/detail/594060-2024,noreply.esender_hub@bescha.bund.de,1,bescha.bund.de
https://ted.europa.eu/en/notice/-/detail/594057-2024,vol.submissionsstelle@stadt-chemnitz.de,1,stadt-chemnitz.de
https://ted.europa.eu/en/notice/-/detail/594057-2024,vol.submissionsstelle@stadt-chemnitz.de,1,stadt-chemnitz.de
