From,To Country,To City,Postal Code,Weight (lbs),Length,Width,Height,Value (USD),Shipping Method,Estimated Delivery,Price,Currency,Insurance Text,Insurance Amount
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,21.02 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Planet Mail: Express,20-28 business days,25.77 USD,USD,+ Insurance 3.27 USD,3.27
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,38.33 USD,USD,+ Insurance 3.42 USD,3.42
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,DHL: Express Worldwide,1-6 business days,54.83 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,USPS: Express,10-14 business days,59.66 USD,USD,+ Insurance 3.69 USD,3.69
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,94.02 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,33.78 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Planet Mail: Express,20-28 business days,49.21 USD,USD,+ Insurance 3.53 USD,3.53
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,58.36 USD,USD,+ Insurance 3.64 USD,3.64
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,DHL: Express Worldwide,1-6 business days,61.51 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,USPS: Express,10-14 business days,65.12 USD,USD,+ Insurance 3.75 USD,3.75
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,121.19 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,33.78 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,64.46 USD,USD,+ Insurance 3.71 USD,3.71
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,DHL: Express Worldwide,1-6 business days,67.58 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Planet Mail: Express,20-28 business days,68.71 USD,USD,+ Insurance 3.74 USD,3.74
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,USPS: Express,10-14 business days,70.6 USD,USD,+ Insurance 3.81 USD,3.81
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,121.19 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,40.16 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,70.55 USD,USD,+ Insurance 3.77 USD,3.77
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,DHL: Express Worldwide,1-6 business days,74.29 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Planet Mail: Express,20-28 business days,75.16 USD,USD,+ Insurance 3.81 USD,3.81
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,USPS: Express,10-14 business days,76.08 USD,USD,+ Insurance 3.87 USD,3.87
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,134.78 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,52.42 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,USPS: Priority,10-14 business days,69.53 USD,USD,+ Insurance 3.79 USD,3.79
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,DHL: Express Worldwide,1-6 business days,80.53 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,USPS: Express,10-14 business days,81.57 USD,USD,+ Insurance 3.93 USD,3.93
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,161.45 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,52.92 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,USPS: Priority,10-14 business days,74.69 USD,USD,+ Insurance 3.85 USD,3.85
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,DHL: Express Worldwide,1-6 business days,85.02 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,USPS: Express,10-14 business days,87.18 USD,USD,+ Insurance 4 USD,4.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,161.95 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,65.68 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,USPS: Priority,10-14 business days,79.88 USD,USD,+ Insurance 3.9 USD,3.9
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,DHL: Express Worldwide,1-6 business days,90 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,USPS: Express,10-14 business days,92.74 USD,USD,+ Insurance 4.06 USD,4.06
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,189.11 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,71.56 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,USPS: Priority,10-14 business days,85.08 USD,USD,+ Insurance 3.96 USD,3.96
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,DHL: Express Worldwide,1-6 business days,94.61 USD,USD,Insurance Included,0.0
